"AUSTRIA ERSTE LIGA,Licht Loidl Lafnitz - BW Linz,1:0,1:0,3.11,PIN,OVER,Lost,-1",,,,,,,,,,,,,
"HOLLAND EERSTE DIVISIE,Den Bosch - NEC Nijmegen,2:2,2:2,2.265,P88,OVER,Lost,-1",,,,,,,,,,,,,
"*ITALY SERIE A,Hellas Verona FC - Cagliari,1:1,1:1,3.45,PIN,OVER,Lost,-1",,,,,,,,,,,,,
"FRANCE LIGUE 1,Lille OSC - AS Monaco,2:0,2:1,2.036,P88,OVER,Won,1.04",,,,,,,,,,,,,
"GERMANY BUNDESLIGA 3,Wehen Wiesbaden - Hansa Rostock,2:1,2:1,1.961,PIN,OVER,Lost,-1",,,,,,,,,,,,,
"GERMANY BUNDESLIGA 2,Erzgebirge Aue - Jahn Regensburg,0:2,0:2,2.62,PIN,OVER,Lost,-1",,,,,,,,,,,,,
"GERMANY BUNDESLIGA 2,SC Paderborn 07 - Nurnberg,0:2,0:2,2.9,PIN,OVER,Lost,-1",,,,,,,,,,,,,
"CZECH REPUBLIC FIRST LEAGUE,FC Zbrojovka Brno - Ceske Budejovice,1:2,1:3,2.15,PIN,OVER,Won,1.15",,,,,,,,,,,,,
"GREECE SUPER LEAGUE,OFI Crete - Apollon Smirnis,0:2,0:2,1.925,PIN,OVER,Lost,-1",,,,,,,,,,,,,
"TURKEY TFF FIRST LEAGUE,Altinordu - Keciorengucu,0:2,0:2,2.108,P88,OVER,Lost,-1",,,,,,,,,,,,,
"*SPAIN LA LIGA,Granada CF - SD Huesca,1:2,3:3,2.116,P88,OVER,Won,1.12",,,,,,,,,,,,,
"*ENGLISH PREMIER LEAGUE,Sheffield United - Leicester City,1:1,1:2,3.77,PIN,OVER,Won,2.77",,,,,,,,,,,,,
"*GERMANY BUNDESLIGA,Werder Bremen - Stuttgart,0:1,1:2,3.68,PIN,OVER,Won,2.68",,,,,,,,,,,,,
"SWITZERLAND SUPER LEAGUE,Luzern - Young Boys,2:3,2:3,1.877,PIN,OVER,Lost,-1",,,,,,,,,,,,,
"CZECH REPUBLIC FIRST LEAGUE,Mlada Boleslav - FK Teplice,0:1,0:2,1.932,P88,OVER,Won,0.93",,,,,,,,,,,,,
"BELGIUM FIRST DIVISION A,Beerschot VA - KAS Eupen,0:1,0:1,4.344,P88,OVER,Lost,-1",,,,,,,,,,,,,
"UKRAINE PREMIER LEAGUE,Desna - Vorskla Poltava,0:0,1:0,2.23,SIN,OVER,Won,1.23",,,,,,,,,,,,,
"DENMARK SUPER LEAGUE,FC Copenhagen - AC Horsens,2:0,2:0,2.05,P88,OVER,Lost,-1",,,,,,,,,,,,,
