10.01.2021 20:00,*GERMANY BUNDESLIGA,Arminia Bielefeld - Hertha Berlin,0:0,1:0,1:0,1.9,SIN,75,OVER,Lost,-1
10.01.2021 20:00,*ITALY SERIE A,Fiorentina - Cagliari,0:0,1:0,1:0,2.041,P88,75,OVER,Lost,-1
10.01.2021 20:15,BELGIUM FIRST DIVISION A,Oud-Heverlee Leuven - Anderlecht,0:0,0:0,1:0,1.952,PIN,75,UNDER,Lost,-1
10.01.2021 20:30,GREECE SUPER LEAGUE,Panathinaikos - Larissa,0:0,1:0,2:0,2.12,SIN,75,OVER,Won,1.12
10.01.2021 22:15,HOLLAND EERSTE DIVISIE,Go Ahead Eagles - TOP Oss,0:0,0:0,1:0,2.53,SIN,75,OVER,Won,1.53
10.01.2021 22:45,BELGIUM FIRST DIVISION A,Sint Truidense VV - Club Brugge,0:0,1:2,1:2,1.909,P88,75,OVER,Lost,-1
11.01.2021 16:00,TURKEY SUPER LEAGUE,Erzurum BB Spor - Fenerbahce,0:0,0:3,0:3,1.972,P88,75,OVER,Lost,-1
11.01.2021 18:15,GREECE SUPER LEAGUE,Giannina - Aris Thessaloniki,0:0,0:0,0:0,2.536,P88,75,OVER,Lost,-1
11.01.2021 19:00,TURKEY TFF FIRST LEAGUE,Akhisar Belediyespor - Adanaspor,0:0,0:0,0:1,1.93,SIN,75,UNDER,Lost,-1
11.01.2021 20:30,GREECE SUPER LEAGUE,Lamia - AEK Athens,0:1,0:1,0:1,2.49,SIN,75,OVER,Lost,-1
11.01.2021 20:45,HOLLAND EERSTE DIVISIE,Den Bosch - Jong AZ Alkmaar,0:0,1:2,1:2,3.61,PIN,88,OVER,Lost,-1
11.01.2021 21:00,*SPAIN LA LIGA,Elche - Getafe,1:0,1:2,1:3,2.2,SIN,75,OVER,Won,1.2
11.01.2021 22:30,GERMANY BUNDESLIGA 2,Eintracht Braunschweig - Fortuna Dusseldorf,0:0,0:0,0:0,2.477,P88,75,OVER,Lost,-1
11.01.2021 22:45,*ITALY SERIE A,Spezia - Sampdoria,0:0,2:1,2:1,1.97,SIN,75,OVER,Lost,-1
